City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,37.09,62,8,7.38,GS,1712413556
1,saipan,15.1355,145.701,79.5,89,40,11.5,MP,1712413366
2,ingersoll,43.0334,-80.883,43.97,75,100,13.89,CA,1712413416
3,yellowknife,62.456,-114.3525,23.41,90,0,4.61,CA,1712413559
4,port-aux-francais,-49.35,70.2167,48.24,95,99,31.74,TF,1712413560
5,gadzhiyevo,69.2551,33.3362,24.1,84,100,7.36,RU,1712413561
6,bel ombre,-4.6167,55.4167,85.84,79,40,9.22,SC,1712413562
7,albany,42.6001,-73.9662,42.58,77,88,5.01,US,1712413265
8,iqaluit,63.7506,-68.5145,15.53,66,75,24.16,CA,1712413565
9,alaghsas,17.0187,8.0168,107.49,8,0,3.44,NE,1712413566
10,yazman,29.1212,71.7446,87.48,11,0,2.55,PK,1712413567
11,tiksi,71.6872,128.8694,-19.75,100,60,4.79,RU,1712413568
12,barcelos,41.5388,-8.6151,63.91,86,100,11.41,PT,1712413420
13,muisne,0.6,-80.0333,80.15,86,94,3.22,EC,1712413570
14,novyy urgal,51.0736,132.5642,25.47,82,47,3.78,RU,1712413571
15,port mathurin,-19.6833,63.4167,80.33,85,20,17.4,MU,1712413572
16,tazacorte,28.629,-17.9293,70.77,60,75,19.57,ES,1712413573
17,puerto natales,-51.7236,-72.4875,43.25,70,75,27.63,CL,1712413575
18,edinburgh of the seven seas,-37.0676,-12.3116,66.27,92,100,24.43,SH,1712413578
19,pristen',51.2355,36.6959,56.73,51,93,9.31,RU,1712413579
20,imbituba,-28.24,-48.6703,75.85,59,17,4.76,BR,1712413580
21,levuka,50.1834,-105.4011,37.22,65,96,10.25,CA,1712413581
22,adamstown,-25.066,-130.1015,71.56,70,99,6.04,PN,1712413582
23,thompson,55.7435,-97.8558,39.36,48,75,4.61,CA,1712413583
24,colonia,50.9333,6.95,80.96,33,0,19.57,DE,1712413434
25,puerto ayora,-0.7393,-90.3518,80.56,95,27,5.99,EC,1712413585
26,inari,68.906,27.0288,26.8,79,100,6.62,FI,1712413587
27,antsiranana,-12.2787,49.2917,83.16,78,40,11.5,MG,1712413588
28,new plymouth,-39.0667,174.0833,52.81,67,0,6.49,NZ,1712413383
29,waitangi,-43.9535,-176.5597,49.82,67,73,18.86,NZ,1712413590
30,la ronge,55.1001,-105.2842,35.85,75,75,6.91,CA,1712413591
31,mossel bay,-34.1831,22.146,62.53,74,100,23.09,ZA,1712413592
32,hermanus,-34.4187,19.2345,68.81,54,96,25.55,ZA,1712413593
33,naze,28.3667,129.4833,67.12,89,100,3.58,JP,1712413594
34,hammerfest,70.6634,23.6821,25.25,74,75,12.66,NO,1712413595
35,bichena,10.45,38.2,73.8,35,100,3.74,ET,1712413596
36,invercargill,-46.4,168.35,51.03,95,35,1.01,NZ,1712413597
37,fortuna,40.5982,-124.1573,42.35,90,93,8.01,US,1712413598
38,ambodifotatra,-16.9833,49.85,81.63,80,11,9.55,MG,1712413600
39,qaqortoq,60.7167,-46.0333,29.03,54,100,2.95,GL,1712413601
40,bogale,16.2833,95.4,85.35,63,4,11.39,MM,1712413602
41,badger,64.8,-147.5333,23.25,89,0,3.44,US,1712413603
42,cadale,2.7603,46.3222,85.77,70,100,14.83,SO,1712413604
43,dalandzadgad,43.5708,104.425,49.37,33,20,3.69,MN,1712413605
44,margaret river,-33.95,115.0667,65.21,66,29,11.92,AU,1712413607
45,blackmans bay,-43.0167,147.3167,58.53,84,100,4.5,AU,1712413608
46,princeville,45.7668,-61.2985,38.43,96,100,10.36,CA,1712413609
47,punta arenas,-53.15,-70.9167,46.42,70,20,34.52,CL,1712413602
48,port elizabeth,-33.918,25.5701,62.1,90,100,11.5,ZA,1712413612
49,nar'yan-mar,67.6713,53.087,19.11,89,49,15.01,RU,1712413613
50,papatowai,-46.5619,169.4708,46.63,93,23,3.89,NZ,1712413614
51,constantia,44.1833,28.65,68.7,62,100,13.27,RO,1712413615
52,aracuai,-16.8497,-42.0703,84.25,57,55,4.65,BR,1712413542
53,olonkinbyen,70.9221,-8.7187,20.61,57,100,11.41,SJ,1712413618
54,dingzhou,38.5131,114.9956,59.11,38,15,6.8,CN,1712413619
